,Items,Support%
0,"('toor dhal 1kg', 'sugar 1kg')",2.695308267417922
1,"('ulundu full white 1kg', 'sugar 1kg')",2.337739733448911
2,"('ulundu full white 1kg', 'toor dhal 1kg')",2.6519666269368294
3,"('tata salt 1kg', 'sugar 1kg')",1.9259941488785353
4,"('tata salt 1kg', 'toor dhal 1kg')",1.5792610250297976
5,"('vendiyam 100gm', 'sugar 1kg')",1.6104128291255824
6,"('kadala parupu 500gm', 'sugar 1kg')",1.7715895546646443
7,"('kadala parupu 500gm', 'toor dhal 1kg')",1.7891970961100876
8,"('jeeragam 100gm', 'sugar 1kg')",1.5711344674395926
9,"('jeeragam 100gm', 'toor dhal 1kg')",1.596868566475241
10,"('pottukadalai 250gm', 'sugar 1kg')",1.7228302091234153
11,"('toor dhal 500gm', 'sugar 1kg')",1.628020370571026
12,"('pepper black 100gm', 'jeeragam 100gm')",2.061436775381948
13,"('pepper black 50gm', 'jeeragam 50gm')",1.8596272618918626
14,"('pottukadalai 500gm', 'toor dhal 1kg')",1.5210206956333299
