,Items,Support%
0,"('toor dhal 1kg', 'sugar 1kg')",8.285956211443086
1,"('ulundu full white 1kg', 'sugar 1kg')",6.858594411515664
2,"('ulundu full white 1kg', 'toor dhal 1kg')",7.390831014878432
3,"('jeeragam 100gm', 'sugar 1kg')",5.854602636990444
4,"('jeeragam 100gm', 'toor dhal 1kg')",5.600580621749123
5,"('pottukadalai 250gm', 'sugar 1kg')",5.96346921495101
6,"('tata salt 1kg', 'sugar 1kg')",6.181202370872143
7,"('vendiyam 100gm', 'sugar 1kg')",5.600580621749123
8,"('vendiyam 100gm', 'toor dhal 1kg')",5.1409217370267335
9,"('kadala parupu 500gm', 'sugar 1kg')",5.745736059029878
10,"('kadala parupu 500gm', 'toor dhal 1kg')",5.648965767509375
11,"('toor dhal 500gm', 'sugar 1kg')",5.104632877706544
12,"('jeeragam 50gm', 'pepper black 50gm')",5.019958872626104
13,"('pepper black 100gm', 'jeeragam 100gm')",5.624773194629249
